486,Heppoko,2,1,1997
487,Hera,703,633,2013
488,Heraa,1011,,2021
489,Heracles,524,420,2008
490,Herb,287,187,2003
491,Hewitt,223,146,2002
492,Hidayu,926,918,2018
493,Hideo Usaguchi,,,2008
494,Higuma,1,4,1997
495,Hihimaru,910,892,2018
496,Hikoichi,180,111,2001
497,Hildon,444,339,2007
498,Hina,171,127,2001
499,Hip,1038,,2022
500,Hippo Gentleman,451,345,2007
501,Hiramera,608,527,2010
502,Hiriluk,140,85,2000
503,Hiroshi,915,901,2018
504,Hitsugisukan,963,968,2019
505,Ho,213,128,2002
506,Hocha,391,275,2005
507,Hocker,12,6,1997
508,Hody Jones,608,527,2010
509,Hoe,611,530,2011
510,Hogback,446,340,2007
511,Hoichael,371,313,2005
512,Holed'em,915,901,2018
513,Holy,241,155,2002
514,Home,921,912,2018
515,Hongo,1,489,1997
516,Honner,287,187,2003
517,Hop,1040,,2022
518,Hotei,951,951,2019
519,Hotori,261,171,2003
520,House,1038,,2022
521,Howling Gab,580,489,2010
522,Hublot,552,461,2009
523,Humphrey,598,517,2008
524,Hustle,60,,1998
525,Hyogoro,926,919,2018
526,Hyota,196,120,2001
527,Hyoutauros,658,582,2012
528,Hyouzou,607,527,2010
529,Ibiributsu,926,919,2018
530,Ibusu,738,671,2014
531,Iceburg,323,230,2004
532,Ichika,608,527,2010
533,Ichiro Kumaguchi,,,2008
534,Ideaman,55,25,1998
535,Ideo,706,633,2013
536,Igaram,106,64,1999
537,Ikaros Much,611,530,2011
538,Ikkaku,815,757,2016
539,Ikkakuu,915,902,2018
540,Im,906,885,2018
541,Inazuma,536,438,2009
542,Inbi,954,955,2019
543,Indigo,0,429,2009
544,Inhel,718,648,2013
545,Inoichibannosuke,917,904,2018
546,Inuarashi,808,756,2015
547,Inukai,932,926,2019
548,Inuppe,451,345,2007
549,Ipponmatsu,97,49,1998
550,Ipponume,97,49,1998
551,Isa,256,168,2003
552,Ishigo Shitemanna,325,231,2004
553,Ishilly,608,527,2010
554,Island Eater,129,77,2000
555,Islewan,553,462,2009
556,Issho,701,630,2013
557,Isuka,,,2018
558,Itomimizu,306,209,2004
559,Ivan X,180,111,2001
560,Iwatobi,823,777,2016
561,Izou,553,461,2009
562,Jabra,375,264,2005
563,Jack,801,746,2015
564,Jacksonbanner,967,968,2020
565,Jaguar,1039,,2022
566,Jaguar D. Saul,392,275,2005
567,Jaki,954,955,2019
568,Jalmack,588,502,2010
569,Jango,25,9,1998
570,Jarul,866,836,2017
571,Jean Ango,706,639,2013
572,Jean Bart,497,391,2008
573,Jean Goen,526,423,2008
574,Jeep,906,884,2018
575,Jeet,706,632,2013
576,Jero,680,606,2012
577,Jerry,362,253,2005
578,Jesus Burgess,222,146,2002
579,Jew Wall,222,145,2002
580,Jewelry Bonney,498,392,2008
581,Jibuemon,920,911,2018
